"id","season","round","hometeam","awayteam","goals_home_team","goals_away_team","matchdate","timestamp"
"410977","2017-18",1,"Arsenal","Leicester","4","3","11/08/2017",1502398800
"410990","2017-18",1,"Watford","Liverpool","3","3","12/08/2017",1502485200
"410989","2017-18",1,"Southampton","Swansea City","0","0","12/08/2017",1502485200
"410992","2017-18",1,"West Bromwich Albion","AFC Bournemouth","1","0","12/08/2017",1502485200
"410984","2017-18",1,"Everton","Stoke City","1","0","12/08/2017",1502485200
"410982","2017-18",1,"Crystal Palace","Huddersfield Town","0","3","12/08/2017",1502485200
"410979","2017-18",1,"Chelsea","Burnley","2","3","12/08/2017",1502485200
"410978","2017-18",1,"Brighton & Hove Albion","Man. City","0","2","12/08/2017",1502485200
"410988","2017-18",1,"Newcastle","Tottenham Hotspur","0","2","13/08/2017",1502571600
"410986","2017-18",1,"Man. Utd","West Ham","4","0","13/08/2017",1502571600
"411016","2017-18",2,"Swansea City","Man. Utd","0","4","19/08/2017",1503090000
"411023","2017-18",2,"Southampton","West Ham","3","2","19/08/2017",1503090000
"411009","2017-18",2,"Liverpool","Crystal Palace","1","0","19/08/2017",1503090000
"411008","2017-18",2,"Leicester","Brighton & Hove Albion","2","0","19/08/2017",1503090000
"411004","2017-18",2,"Burnley","West Bromwich Albion","0","1","19/08/2017",1503090000
"411001","2017-18",2,"AFC Bournemouth","Watford","0","2","19/08/2017",1503090000
"411013","2017-18",2,"Stoke City","Arsenal","1","0","19/08/2017",1503090000
"411006","2017-18",2,"Huddersfield Town","Newcastle","1","0","20/08/2017",1503176400
"410981","2017-18",2,"Tottenham Hotspur","Chelsea","1","2","20/08/2017",1503176400
"411012","2017-18",2,"Man. City","Everton","1","1","21/08/2017",1503262800
"411017","2017-18",3,"AFC Bournemouth","Man. City","1","2","26/08/2017",1503694800
"411029","2017-18",3,"Watford","Brighton & Hove Albion","0","0","26/08/2017",1503694800
"411020","2017-18",3,"Crystal Palace","Swansea City","0","2","26/08/2017",1503694800
"411022","2017-18",3,"Huddersfield Town","Southampton","0","0","26/08/2017",1503694800
"411027","2017-18",3,"Newcastle","West Ham","3","0","26/08/2017",1503694800
"411026","2017-18",3,"Man. Utd","Leicester","2","0","26/08/2017",1503694800
"411030","2017-18",3,"West Bromwich Albion","Stoke City","1","1","27/08/2017",1503781200
"411019","2017-18",3,"Chelsea","Everton","2","0","27/08/2017",1503781200
"411028","2017-18",3,"Tottenham Hotspur","Burnley","1","1","27/08/2017",1503781200
"410995","2017-18",3,"Liverpool","Arsenal","4","0","27/08/2017",1503781200
"411000","2017-18",4,"Man. City","Liverpool","5","0","09/09/2017",1504904400
"411048","2017-18",4,"Southampton","Watford","0","2","09/09/2017",1504904400
"411046","2017-18",4,"Leicester","Chelsea","1","2","09/09/2017",1504904400
"411043","2017-18",4,"Everton","Tottenham Hotspur","0","3","09/09/2017",1504904400
"411034","2017-18",4,"Brighton & Hove Albion","West Bromwich Albion","3","1","09/09/2017",1504904400
"411032","2017-18",4,"Arsenal","AFC Bournemouth","3","0","09/09/2017",1504904400
"411050","2017-18",4,"Stoke City","Man. Utd","2","2","09/09/2017",1504904400
"411038","2017-18",4,"Burnley","Crystal Palace","1","0","10/09/2017",1504990800
"411052","2017-18",4,"Swansea City","Newcastle","0","1","10/09/2017",1504990800
"411055","2017-18",4,"West Ham","Huddersfield Town","2","0","11/09/2017",1505077200
